Gene1_ID	Gene2_ID	Gene1_Symbol	Gene2_Symbol	G1>G2_mut	G1>G2_wild	fisher_pvalue
2919	9900	CXCL1	SV2A	31	202	6.54934231716749e-06
5871	9028	MAP4K2	RHBDL1	31	204	6.89617733317291e-06
631	1002	BFSP1	CDH4	31	205	7.3154550166719e-06
4664	10608	NAB1	MXD4	31	205	7.3154550166719e-06
50507	1140	NOX4	CHRNB1	31	206	7.90169693536992e-06
4091	5731	SMAD6	PTGER1	31	207	1.42014654356269e-05
9088	563	PKMYT1	AZGP1	31	207	1.42014654356269e-05
50507	1823	NOX4	DSC1	31	207	1.42014654356269e-05
56649	6715	TMPRSS4	SRD5A1	31	208	1.42075449927133e-05
4063	1142	LY9	CHRNB3	31	209	1.45584543800545e-05
23307	51172	FKBP15	NAGPA	31	209	1.45584543800545e-05
9638	4826	FEZ1	NNAT	31	210	1.52494998502403e-05
22865	563	SLITRK3	AZGP1	31	210	1.52494998502403e-05
5366	7693	PMAIP1	ZNF134	31	211	1.62827107880319e-05
5414	554	SEPTIN4	AVPR2	31	211	1.62827107880319e-05
53832	1463	IL20RA	NCAN	31	211	1.62827107880319e-05
56925	51292	LXN	GMPR2	31	211	1.62827107880319e-05
731	563	C8A	AZGP1	31	213	2.95619548586022e-05
5871	563	MAP4K2	AZGP1	31	213	2.95619548586022e-05
9377	8665	COX5A	EIF3F	31	213	2.95619548586022e-05
50507	79981	NOX4	FRMD1	31	213	2.95619548586022e-05
50507	6854	NOX4	SYN2	31	212	2.98383973785488e-05
570	5407	BAAT	PNLIPRP1	31	214	2.9987242223067e-05
1370	563	CPN2	AZGP1	31	214	2.9987242223067e-05
9780	51129	PIEZO1	ANGPTL4	31	214	2.9987242223067e-05
51317	55578	PHF21A	SUPT20H	31	214	2.9987242223067e-05
56649	29925	TMPRSS4	GMPPB	31	214	2.9987242223067e-05
64218	23710	SEMA4A	GABARAPL1	31	214	2.9987242223067e-05
64376	25830	IKZF5	SULT4A1	31	214	2.9987242223067e-05
89870	563	TRIM15	AZGP1	31	214	2.9987242223067e-05
4653	563	MYOC	AZGP1	31	215	3.10988673328521e-05
5155	563	PDGFB	AZGP1	31	215	3.10988673328521e-05
50649	3768	ARHGEF4	KCNJ12	31	215	3.10988673328521e-05
7104	563	TM4SF4	AZGP1	31	216	3.2894406045898e-05
173	23439	AFM	ATP1B4	31	218	5.98151650269763e-05
5700	23479	PSMC1	ISCU	31	218	5.98151650269763e-05
9780	3128	PIEZO1	HLA-DRB6	31	218	5.98151650269763e-05
51742	55757	ARID4B	UGGT2	31	218	5.98151650269763e-05
81563	563	C1orf21	AZGP1	31	218	5.98151650269763e-05
387082	9451	SUMO4	EIF2AK3	31	218	5.98151650269763e-05
673	64129	BRAF	TINAGL1	31	219	6.02413160980277e-05
2530	79693	FUT8	YRDC	31	219	6.02413160980277e-05
11024	563	LILRA1	AZGP1	31	219	6.02413160980277e-05
26525	563	IL36RN	AZGP1	31	219	6.02413160980277e-05
